"filename", "language", "JavaScript", "PHP", "JSON", "YAML", "Markdown", "PostCSS", "XML", "Docker", "Makefile", "Shell Script", "Happy", "reStructuredText", "pip requirements", "Python", "Dotenv", "Assembly", "Properties", "HTML", "Ruby", "CSV", "TypeScript", "Ini", "Batch", "Log", "MS SQL", "comment", "blank", "total"
"c:\Users\Brahim\Desktop\Prenoting\app\Services\AppointmentService.php", "PHP", 0, 203, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 247
"c:\Users\Brahim\Desktop\Prenoting\app\Services\AvailabilityService.php", "PHP", 0, 156, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 183
"c:\Users\Brahim\Desktop\Prenoting\app\Services\CodiceFiscaleService.php", "PHP", 0, 118, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 148
"c:\Users\Brahim\Desktop\Prenoting\app\Services\DoctorAgendaViewService.php", "PHP", 0, 164, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 189
"c:\Users\Brahim\Desktop\Prenoting\app\Services\DoctorScheduleService.php", "PHP", 0, 508, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 95, 603
"c:\Users\Brahim\Desktop\Prenoting\app\Services\PatientBookingCalendarService.php", "PHP", 0, 170, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 208
"c:\Users\Brahim\Desktop\Prenoting\app\Services\ScheduleWindowService.php", "PHP", 0, 106, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 121
"c:\Users\Brahim\Desktop\Prenoting\app\Support\PortalFormat.php", "PHP", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 48
"c:\Users\Brahim\Desktop\Prenoting\app\Support\ScheduleTime.php", "PHP", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 63
"c:\Users\Brahim\Desktop\Prenoting\app\Support\ValidationRules.php", "PHP", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19
"c:\Users\Brahim\Desktop\Prenoting\app\Support\VirtualAvailabilitySlot.php", "PHP", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
"c:\Users\Brahim\Desktop\Prenoting\bootstrap\app.php", "PHP", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 23
"c:\Users\Brahim\Desktop\Prenoting\bootstrap\cache\packages.php", "PHP", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16
"c:\Users\Brahim\Desktop\Prenoting\bootstrap\cache\services.php", "PHP", 0, 249, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 249
"c:\Users\Brahim\Desktop\Prenoting\bootstrap\providers.php", "PHP", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\Brahim\Desktop\Prenoting\composer.json", "JSON", 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 56
"c:\Users\Brahim\Desktop\Prenoting\composer.lock", "JSON", 0, 0, 7631, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7632
"c:\Users\Brahim\Desktop\Prenoting\config\app.php", "PHP", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 23
"c:\Users\Brahim\Desktop\Prenoting\config\auth.php", "PHP", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 30
"c:\Users\Brahim\Desktop\Prenoting\config\cache.php", "PHP", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 27
"c:\Users\Brahim\Desktop\Prenoting\config\database.php", "PHP", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 41
"c:\Users\Brahim\Desktop\Prenoting\config\logging.php", "PHP", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 37
"c:\Users\Brahim\Desktop\Prenoting\config\session.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 23
"c:\Users\Brahim\Desktop\Prenoting\database\migrations\2026_04_27_000001_create_support_tables.php", "PHP", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 47
"c:\Users\Brahim\Desktop\Prenoting\database\migrations\2026_04_27_000002_create_domain_tables.php", "PHP", 0, 112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 125
"c:\Users\Brahim\Desktop\Prenoting\database\migrations\2026_04_28_000001_create_doctor_treatment_offerings_table.php", "PHP", 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 61
"c:\Users\Brahim\Desktop\Prenoting\database\migrations\2026_04_29_000001_add_birth_and_fiscal_to_patient_profiles.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 24
"c:\Users\Brahim\Desktop\Prenoting\database\migrations\2026_04_29_000002_drop_identity_code_from_patient_profiles.php", "PHP", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 23
"c:\Users\Brahim\Desktop\Prenoting\database\migrations\2026_04_30_000001_simplify_single_doctor_domain.php", "PHP", 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 94
"c:\Users\Brahim\Desktop\Prenoting\database\migrations\2026_04_30_114440_drop_doctor_treatment_offerings_table.php", "PHP", 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 79
"c:\Users\Brahim\Desktop\Prenoting\database\migrations\2026_05_01_000001_update_medical_service_categories_to_italian_values.php", "PHP", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 30
